disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2001-0242-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Allison,USA,United States of America,Northern America,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Flood,No,No,Yes,,Kph,2001,6,5,2001,6,17,41.0,,102000.0,70000.0,172000.0,3500000.0,6022907.0,6000000.0,10324983.0,58.11147437438208,2006-10-11,2023-09-25,2001-06-05,2001-06-17,12
2001-0262-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",Ice jam/break,,No,No,No,24.0,Km2,2001,2,27,2001,3,1,,,200.0,,200.0,,,,,58.11147437438208,2005-09-19,2023-09-25,2001-02-27,2001-03-01,2
2001-0266-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces",,Flood|Snow/ice,No,No,No,,Kph,2001,3,20,2001,3,20,2.0,,100.0,,100.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-03-20,2001-03-20,0
2001-0268-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Minnesota, Iowa, Wisconsin, Illinois provinces",Snowmelt,,No,No,No,63380.0,Km2,2001,4,15,2001,5,15,1.0,,4400.0,,4400.0,,,13000.0,22371.0,58.11147437438208,2005-09-19,2023-09-25,2001-04-15,2001-05-15,30
2001-0270-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hoisington city (Barton district, Kansas province)",,,No,No,No,,Kph,2001,4,21,2001,4,21,1.0,32.0,1707.0,,1739.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-04-21,2001-04-21,0
2001-0303-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Florida province,,,No,No,No,1030.0,Km2,2001,4,1,2001,4,1,1.0,10.0,129.0,,139.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-04-01,2001-04-01,0
2001-0351-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)",,,No,No,No,,Kph,2001,6,14,2001,6,14,,,75.0,18.0,93.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-06-14,2001-06-14,0
2001-0451-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Oregon, Washington, Idaho, California, Nevada, Colorado, Arizona, Wyoming, Texas, Oklahoma provinces",,,No,No,No,797.0,Km2,2001,8,1,2001,8,1,,,,,,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-08-01,2001-08-01,0
2001-0460-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Virginia province,Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,8530.0,Km2,2001,7,8,2001,7,9,2.0,,10500.0,4500.0,15000.0,,,20000.0,34417.0,58.11147437438208,2005-09-20,2023-09-25,2001-07-08,2001-07-09,1
2001-0473-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Siren city (Burnett district, Wisconsin province)",,,No,No,No,,Kph,2001,6,18,2001,6,18,3.0,8.0,360.0,,368.0,,,10000.0,17208.0,58.11147437438208,2003-07-01,2023-09-25,2001-06-18,2001-06-18,0
