"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2008-0552-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2008-11-17","2008-11-20","2009-03-18","2023-09-25"
"2008-0560-IND","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Tropical cyclone Nisha",NULL,"No","No","No",NULL,"Km2","2008-11-27","2008-12-04","2009-01-12","2023-09-25"
"2008-0560-LKA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Tropical cyclone Nisha",NULL,"Yes","No","No","103400","Km2","2008-11-22","2008-12-04","2010-08-16","2023-09-25"
"2008-0568-BGD","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Hevay tropical rains",NULL,"No","No","No",NULL,NULL,"2008-08-16","2008-08-16","2008-12-16","2023-09-25"
"2008-0570-MYS","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","58100","Km2","2008-12-01","2008-12-04","2008-12-22","2023-09-25"
"2008-0571-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","24110","Km2","2008-12-01","2008-12-04","2008-12-16","2023-09-25"
"2008-0588-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","4.8","Moment Magnitude","2008-12-25","2008-12-25","2008-12-29","2023-09-25"
"2008-0591-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy monsoon rains",NULL,"Yes","No","No","165900","Km2","2008-08-09","2008-08-20","2009-05-27","2023-09-25"
"2008-0596-CHN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Torrential rains",NULL,"No","No","No",NULL,NULL,"2008-07-08","2008-07-08","2009-01-05","2023-09-25"
"2008-0598-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rainstorms",NULL,"No","No","No",NULL,"Km2","2008-07-07","2008-07-07","2009-01-06","2023-09-25"
"2008-0602-AFG","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2008-10-06","2008-10-06","2009-01-07","2023-09-25"
"2008-0607-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","29580","Km2","2008-12-25","2009-01-05","2009-01-28","2023-09-25"
"2008-0608-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Tropical Depression Julian",NULL,"No","No","No",NULL,"Km2","2008-08-08","2008-08-08","2009-01-11","2023-09-25"
"2008-0609-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","Yes",NULL,"Kph","2008-05-13","2008-05-13","2009-01-11","2023-09-25"
"2008-0611-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No",NULL,"Km2","2008-01-18","2008-01-18","2009-01-11","2023-09-25"
"2008-0615-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rain",NULL,"No","No","No","283800","Km2","2008-07-20","2008-08-08","2009-01-12","2023-09-25"
"2008-0616-IND","No","nat-met-ext-col","Natural","Meteorological","Extreme temperature","Cold wave",NULL,NULL,"No","No","No","4","°C","2008-12-01","2009-01-01","2010-03-07","2023-09-25"
"2008-0618-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No",NULL,"Km2","2008-10-01","2008-10-01","2009-01-12","2023-09-25"
"2008-0620-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2008-06-17","2008-06-17","2009-01-13","2023-09-25"
"2008-0621-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2008-07-18","2008-07-18","2009-01-13","2023-09-25"
"2008-0622-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No",NULL,"Km2","2008-09-04","2008-09-13","2009-01-13","2023-09-25"
"2008-0623-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2008-09-29","2008-09-29","2009-01-13","2023-09-25"
"2008-0634-THA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2008-12-29","2009-01-19","2009-01-28","2023-09-25"
"2008-0635-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","126700","Km2","2008-12-26","2009-01-12","2009-01-28","2023-09-25"
"2008-0644-BGD","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","100","Kph","2008-03-22","2008-03-22","2009-03-18","2023-09-25"
"2008-0646-IND","No","nat-met-sto-san","Natural","Meteorological","Storm","Sand/Dust storm",NULL,"Flood","No","No","No","110","Kph","2008-05-14","2008-05-14","2009-03-25","2023-09-25"
"2008-0648-BGD","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No","80","Kph","2008-10-27","2008-10-27","2009-03-18","2023-09-25"
"2008-0650-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6.1","Moment Magnitude","2008-05-25","2008-05-25","2014-03-11","2023-09-25"
"2008-0651-CHN","No","nat-met-sto-san","Natural","Meteorological","Storm","Sand/Dust storm",NULL,"Cold wave","No","No","No",NULL,"Kph","2008-04-17","2008-04-19","2009-03-19","2023-09-25"
"2008-0652-CHN","No","nat-met-sto-hai","Natural","Meteorological","Storm","Hail",NULL,NULL,"No","No","No","84","Kph","2008-06-03","2008-06-03","2009-03-19","2023-09-25"
"2008-0662-JPN","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No",NULL,"°C","2008-07-01","2008-07-01","2010-07-27","2024-02-06"
"2008-9154-THA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,NULL,"No","No","No",NULL,"Km2","2008-04-01","2008-04-01","2008-06-26","2023-09-25"
"2008-9456-TJK","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought","Severe winter storm, locust infestation, increase in food and fuel cost","Food shortage","No","No","No",NULL,"Km2","2008-10-01","2008-10-01","2008-10-07","2023-09-25"
"2008-9475-AFG","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,"Food shortage","No","No","No",NULL,"Km2","2008-10-01","2008-10-01","2009-01-07","2023-09-25"
"2008-9662-CHN","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,NULL,"No","No","Yes",NULL,"Km2","2008-11-01","2009-02-01","2010-03-07","2023-09-25"
"2008-9755-SYR","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,NULL,"No","No","No",NULL,"Km2","2008-01-01","2010-01-01","2010-12-13","2023-09-25"
"2009-0001-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","7.7","Moment Magnitude","2009-01-03","2009-01-03","2010-03-07","2023-09-25"
"2009-0023-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,"Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2009-01-02","2009-01-15","2010-03-15","2023-09-25"
"2009-0026-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Continuous rains",NULL,"No","No","No",NULL,"Km2","2009-01-09","2009-01-09","2009-01-29","2023-09-25"
"2009-0027-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-01-08","2009-01-08","2009-01-29","2023-09-25"
"2009-0033-AFG","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2009-01-18","2009-01-18","2009-02-04","2023-09-25"
"2009-0049-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-01-18","2009-01-18","2009-02-25","2023-09-25"
"2009-0054-TUR","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)","High temperatures",NULL,"No","No","No",NULL,NULL,"2009-01-25","2009-01-25","2009-03-09","2023-09-25"
"2009-0059-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.1","Moment Magnitude","2009-01-25","2009-01-25","2009-03-10","2023-09-25"
"2009-0063-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Incessant rains","Slide (land, mud, snow, rock)","No","No","No","60610","Km2","2009-01-27","2009-02-02","2012-11-13","2023-09-25"
"2009-0112-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","7.2","Moment Magnitude","2009-02-11","2009-02-11","2010-03-07","2023-09-25"
"2009-0121-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Broken Dam/Burst bank","No","No","No","19200","Km2","2009-03-26","2009-03-27","2010-01-17","2023-09-25"
"2009-0130-IND","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,"Hail","No","No","No",NULL,"Kph","2009-03-31","2009-03-31","2010-03-05","2023-09-25"
"2009-0139-AFG","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NULL,"Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2009-04-04","2009-04-15","2010-01-14","2023-09-25"
"2009-0149-PAK","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rain",NULL,"No","No","No",NULL,"Km2","2009-04-14","2009-04-14","2009-04-17","2023-09-25"
"2009-0156-AFG","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.2","Moment Magnitude","2009-04-16","2009-04-16","2014-02-28","2023-09-25"
"2009-0157-BGD","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","100","Kph","2009-04-19","2009-04-20","2010-03-05","2023-09-25"
"2009-0165-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No","139","Kph","2009-05-07","2009-05-10","2010-03-05","2023-09-25"
"2009-0168-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Snow melt","Slide (land, mud, snow, rock)","No","No","No","88520","Km2","2009-03-25","2009-05-24","2010-03-05","2023-09-25"
"2009-0174-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No","148","Kph","2009-04-29","2009-05-05","2010-03-05","2023-09-25"
"2009-0175-IND","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No","48","°C","2009-04-14","2009-06-26","2010-03-07","2023-09-25"
"2009-0176-TJK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rainfall","Slide (land, mud, snow, rock)","Yes","Yes","No","62470","Km2","2009-04-21","2009-06-01","2014-07-28","2023-09-25"
"2009-0192-PHL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-05-18","2009-05-18","2009-05-22","2023-09-25"
"2009-0193-PHL","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2009-05-15","2009-05-15","2009-05-22","2023-09-25"
"2009-0194-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-05-18","2009-05-18","2009-05-22","2023-09-25"
"2009-0195-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No",NULL,"Km2","2009-05-18","2009-05-18","2009-05-22","2023-09-25"
"2009-0204-BGD","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Broken Dam/Burst bank|Tsunami/Tidal wave","Yes","No","No","90","Kph","2009-05-25","2009-05-26","2010-02-05","2023-09-25"
"2009-0204-BTN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2009-05-25","2009-05-26","2010-01-15","2023-09-25"
"2009-0204-IND","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No","110","Kph","2009-05-25","2009-05-25","2010-01-06","2023-09-25"
"2009-0218-CHN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2009-06-05","2009-06-05","2009-06-08","2023-09-25"
"2009-0219-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-04-01","2009-06-08","2009-06-10","2023-09-25"
"2009-0222-CHN","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NULL,"Flood|Hail","No","No","No",NULL,"Kph","2009-06-03","2009-06-06","2010-03-08","2023-09-25"
"2009-0224-CHN","No","nat-met-sto-hai","Natural","Meteorological","Storm","Hail",NULL,"Flood|Hail","No","No","No","100","Kph","2009-06-14","2009-06-15","2010-03-08","2023-09-25"
"2009-0227-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-07-01","2009-07-01","2009-07-15","2023-09-25"
"2009-0235-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No","82900","Km2","2009-06-19","2009-06-22","2009-07-16","2023-09-25"
"2009-0239-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Slide (land, mud, snow, rock)|Surge","No","No","No","83","Kph","2009-07-23","2009-07-26","2010-03-05","2023-09-25"
"2009-0240-IND","No","nat-met-sto-lig","Natural","Meteorological","Storm","Lightning/Thunderstorms",NULL,NULL,"No","No","No",NULL,"Kph","2009-06-28","2009-06-29","2010-03-08","2023-09-25"
"2009-0247-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","69860","Km2","2009-07-03","2009-07-06","2009-08-05","2023-09-25"
"2009-0249-CHN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.7","Moment Magnitude","2009-07-09","2009-07-09","2010-03-07","2023-09-25"
"2009-0250-LKA","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No",NULL,"Vaccinated","2009-01-01","2009-11-18","2010-12-14","2023-09-25"
"2009-0251-MMR","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-07-04","2009-07-04","2009-07-22","2023-09-25"
"2009-0259-NPL","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease",NULL,NULL,"No","No","No",NULL,NULL,"2009-05-01","2009-08-23","2009-11-23","2023-09-25"
"2009-0262-TUR","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","26430","Km2","2009-07-10","2009-07-16","2009-12-15","2023-09-25"
"2009-0265-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2009-07-18","2009-07-18","2009-07-28","2023-09-25"
"2009-0266-PAK","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rain",NULL,"No","No","No","10370","Km2","2009-07-17","2009-07-19","2010-01-13","2023-09-25"
"2009-0267-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-07-17","2009-07-17","2009-07-24","2023-09-25"
"2009-0269-MNG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,"Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2009-07-16","2009-07-26","2010-03-05","2023-09-25"
"2009-0275-JPN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2009-07-20","2009-07-20","2009-07-28","2023-09-25"
"2009-0276-JPN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-07-26","2009-07-27","2010-01-13","2023-09-25"
"2009-0284-CHN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-07-14","2009-07-23","2010-03-05","2023-09-25"
"2009-0285-CHN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-07-22","2009-07-22","2009-07-28","2023-09-25"
"2009-0289-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Torrential rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2009-07-04","2009-08-10","2009-09-07","2023-09-25"
"2009-0292-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Slide (land, mud, snow, rock)","No","No","No","542100","Km2","2009-07-01","2009-07-08","2010-03-10","2023-09-25"
"2009-0294-BGD","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rain","Slide (land, mud, snow, rock)","No","No","No","49030","Km2","2009-07-03","2009-07-06","2009-08-12","2023-09-25"
"2009-0299-CHN","No","nat-met-sto-lig","Natural","Meteorological","Storm","Lightning/Thunderstorms",NULL,NULL,"No","No","No",NULL,"Kph","2009-08-04","2009-08-04","2009-12-07","2023-09-25"
"2009-0303-IND","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Torrential rain",NULL,"No","No","No",NULL,"Km2","2009-07-29","2009-07-29","2009-08-13","2023-09-25"
"2009-0304-BGD","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No",NULL,"Km2","2009-07-29","2009-07-29","2009-08-12","2023-09-25"
"2009-0305-NPL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-07-28","2009-07-28","2009-08-12","2023-09-25"
"2009-0311-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoonal rains",NULL,"No","No","No",NULL,"Km2","2009-08-05","2009-08-05","2009-08-12","2023-09-25"
"2009-0313-CHN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rain",NULL,"No","No","No",NULL,NULL,"2009-08-06","2009-08-06","2009-08-13","2023-09-25"
"2009-0315-IND","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Torrential rain",NULL,"No","No","No",NULL,NULL,"2009-08-08","2009-08-08","2010-03-05","2023-09-25"
"2009-0316-JPN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2009-08-10","2009-08-10","2009-08-13","2023-09-25"
"2009-0320-JPN","No","nat-geo-ear-tsu","Natural","Geophysical","Earthquake","Tsunami",NULL,"Fire|Tsunami/Tidal wave","No","No","No","6.2","Moment Magnitude","2009-08-10","2009-08-10","2011-04-27","2023-09-25"
"2009-0321-CHN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No","83","Kph","2009-08-09","2009-08-10","2009-09-07","2023-09-25"
"2009-0321-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2009-08-04","2009-08-08","2009-09-07","2023-09-25"
"2009-0321-TWN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","Yes","No","No","148","Kph","2009-08-07","2009-08-08","2010-08-16","2023-09-25"
"2009-0335-PAK","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No","30560","Km2","2009-08-15","2009-08-17","2009-12-08","2023-09-25"
"2009-0336-LKA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-08-15","2009-08-16","2009-09-10","2023-09-25"
"2009-0346-YEM","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","Heavy rains",NULL,"No","No","No",NULL,NULL,"2009-08-27","2009-08-27","2009-09-10","2023-09-25"
"2009-0352-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy torrential rains",NULL,"No","No","No",NULL,"Km2","2009-09-15","2009-09-18","2010-03-05","2023-09-25"
"2009-0354-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Slide (land, mud, snow, rock)","Yes","No","No","7","Moment Magnitude","2009-09-02","2009-09-02","2010-08-16","2023-09-25"
"2009-0355-TUR","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No","3167","Km2","2009-09-07","2009-09-10","2010-03-05","2023-09-25"
"2009-0360-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2009-09-02","2009-09-08","2009-09-23","2023-09-25"
"2009-0373-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2009-09-08","2009-09-09","2009-09-30","2023-09-25"
"2009-0374-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2009-09-12","2009-09-13","2009-09-30","2023-09-25"
"2009-0378-CHN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","81300","Km2","2009-08-28","2009-09-01","2009-10-01","2023-09-25"
"2009-0383-IND","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2009-09-03","2009-09-03","2009-10-01","2023-09-25"
"2009-0385-AFG","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2009-09-03","2009-09-03","2009-10-01","2023-09-25"
"2009-0388-GEO","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6","Moment Magnitude","2009-09-07","2009-09-07","2010-02-19","2023-09-25"
"2009-0399-CHN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No","126","Kph","2009-09-14","2009-09-14","2009-10-13","2023-09-25"
"2009-0399-HKG","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","120","Kph","2009-09-15","2009-09-15","2009-10-13","2023-09-25"
"2009-0403-IND","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No",NULL,"Vaccinated","2009-01-01","2009-10-01","2010-01-06","2023-09-25"
"2009-0404-PHL","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.7","Moment Magnitude","2009-09-18","2009-09-19","2009-12-04","2023-09-25"
"2009-0406-BTN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","8.1","Moment Magnitude","2009-09-21","2009-09-21","2010-02-05","2023-09-25"
"2009-0409-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Monsoon rain",NULL,"No","No","No",NULL,"Km2","2009-07-01","2009-09-01","2010-03-05","2023-09-25"
"2009-0414-KHM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2009-09-29","2009-09-30","2014-05-12","2023-09-25"
"2009-0414-LAO","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","Yes","No","No",NULL,"Kph","2009-09-29","2009-10-01","2014-05-12","2023-09-25"
"2009-0414-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","Yes","No","No",NULL,"Kph","2009-09-24","2009-09-27","2014-05-12","2023-09-25"
"2009-0414-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","Yes","No","No","170","Kph","2009-09-28","2009-09-29","2014-05-13","2023-09-25"
"2009-0421-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave","Yes","Yes","No","6.6","Moment Magnitude","2009-09-30","2009-09-30","2014-05-12","2023-09-25"
"2009-0422-CHN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2009-10-13","2009-10-13","2010-01-15","2023-09-25"
"2009-0422-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No","145","Kph","2009-09-29","2009-10-10","2010-10-12","2023-09-25"
"2009-0422-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2009-10-14","2009-10-14","2010-01-13","2023-09-25"
"2009-0423-JPN","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Surge","No","No","No","220","Kph","2009-10-07","2009-10-09","2010-03-10","2023-09-25"
"2009-0425-AZE","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No",NULL,"Km2","2009-09-21","2009-09-21","2009-10-18","2023-09-25"
"2009-0429-IND","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Torrential rains",NULL,"Yes","No","No","309700","Km2","2009-09-25","2009-10-12","2014-05-12","2023-09-25"
"2009-0434-NPL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No","129700","Km2","2009-10-04","2009-10-12","2010-12-14","2023-09-25"
