"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2000-0363-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","85","Km2","2000-06-12","2000-06-12","2003-07-01","2023-09-25"
"2000-0406-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","607","Km2","2000-06-27","2000-06-27","2003-07-01","2023-09-25"
"2000-0433-USA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No","38","°C","2000-07-01","2000-07-01","2003-07-01","2023-09-25"
"2000-0450-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","2363","Km2","2000-07-01","2000-07-01","2003-07-01","2023-09-25"
"2000-0463-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2000-07-25","2000-07-25","2003-07-01","2023-09-25"
"2000-0465-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","680000","Km2","2000-07-01","2000-08-01","2007-08-27","2023-09-25"
"2000-0500-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2000-08-12","2000-08-14","2006-02-23","2023-09-25"
"2000-0502-USA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2000-07-30","2000-07-30","2003-07-01","2023-09-25"
"2000-0598-USA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","4.9","Moment Magnitude","2000-09-03","2000-09-03","2005-04-17","2023-09-25"
"2000-0614-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2000-09-20","2000-09-20","2003-07-01","2023-09-25"
"2000-0652-USA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2000-10-04","2000-10-04","2003-07-01","2023-09-25"
"2000-0756-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,NULL,"No","No","No",NULL,"Kph","2000-11-20","2000-11-20","2003-07-01","2023-09-25"
"2000-0838-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No",NULL,"Kph","2000-12-24","2000-12-24","2003-07-01","2023-09-25"
"2000-0865-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","86","Km2","2000-11-02","2000-11-02","2004-10-20","2023-09-25"
